                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	               HCO3-	             a_HCO3-	
  1.005586714033e-04	  5.897391641682e-05	  1.003274867380e-03	  1.923380014401e-03	  9.703769456766e+00	  2.092861240564e-10	 -5.361319621398e+00	  0.000000000000e+00	  1.934552299327e-05	  6.818757857549e-05	  6.422713635718e-05	
  1.005586714033e-04	  5.897391641682e-05	  1.003274867380e-03	  1.923380014401e-03	  9.703769456766e+00	  2.092861240564e-10	 -5.361178018163e+00	  0.000000000000e+00	  1.934552299327e-05	  6.818757857548e-05	  6.422713635718e-05	
  9.985032246328e-05	  6.091147392145e-05	  9.912737712473e-04	  1.904669638524e-03	  9.702600071207e+00	  2.098026644054e-10	 -5.175546030626e+00	  0.000000000000e+00	  1.917794889155e-05	  6.783120329801e-05	  6.390780093021e-05	
  9.985032246328e-05	  6.091147392145e-05	  9.912737712474e-04	  1.904669638524e-03	  9.702600071207e+00	  2.098026644054e-10	 -5.171381408019e+00	  0.000000000000e+00	  1.917794889155e-05	  6.783120329801e-05	  6.390780093021e-05	
  9.889970585936e-05	  6.321258844250e-05	  9.769574017644e-04	  1.882540365498e-03	  9.700831587534e+00	  2.106012101005e-10	 -4.983348003004e+00	  0.000000000000e+00	  1.894705872062e-05	  6.734996531595e-05	  6.347386899814e-05	
  9.889970585936e-05	  6.321258844250e-05	  9.769574017644e-04	  1.882540365498e-03	  9.700831587534e+00	  2.106012101005e-10	 -4.991180228789e+00	  0.000000000000e+00	  1.894705872062e-05	  6.734996531595e-05	  6.347386899814e-05	
  9.776241010270e-05	  6.597860542480e-05	  9.601070384380e-04	  1.856646268229e-03	  9.698648447239e+00	  2.115942466141e-10	 -5.279550964112e+00	  0.000000000000e+00	  1.866969806233e-05	  6.677101516232e-05	  6.295103820284e-05	
  9.776241010270e-05	  6.597860542480e-05	  9.601070384380e-04	  1.856646268229e-03	  9.698648447239e+00	  2.115942466141e-10	 -5.275936748870e+00	  0.000000000000e+00	  1.866969806233e-05	  6.677101516232e-05	  6.295103820284e-05	
  9.646487388089e-05	  6.930162916852e-05	  9.404966177555e-04	  1.826666550946e-03	  9.696140356873e+00	  2.127395731201e-10	 -5.053673757032e+00	  0.000000000000e+00	  1.835418098581e-05	  6.610655564669e-05	  6.235094341869e-05	
  9.646487388089e-05	  6.930162916852e-05	  9.404966177555e-04	  1.826666550946e-03	  9.696140356873e+00	  2.127395731201e-10	 -5.052106774866e+00	  0.000000000000e+00	  1.835418098581e-05	  6.610655564669e-05	  6.235094341869e-05	
  9.502531818207e-05	  7.327445617447e-05	  9.179108024016e-04	  1.792319690068e-03	  9.693369006678e+00	  2.140082076359e-10	 -5.518449342039e+00	  0.000000000000e+00	  1.800632107982e-05	  6.536450950962e-05	  6.168116315933e-05	
  9.502531818204e-05	  7.327445617447e-05	  9.179108024016e-04	  1.792319690068e-03	  9.693369006678e+00	  2.140082076358e-10	 -5.519480137260e+00	  0.000000000000e+00	  1.800632107982e-05	  6.536450950960e-05	  6.168116315931e-05	
  9.346285092011e-05	  7.799450872627e-05	  8.921574256888e-04	  1.753377980984e-03	  9.690398141249e+00	  2.153697017276e-10	 -5.473412442475e+00	  0.000000000000e+00	  1.763202928499e-05	  6.455323501691e-05	  6.094964352199e-05	
